lat,lon,tipo,nome
-15.7866610,-47.8839318,bureau_de_change,Capital Câmbio
-15.7869651,-47.8839757,bank,Santander
-15.7866075,-47.8839568,restaurant,Panelinhas do Brasil
-15.7871315,-47.8843752,fast_food,Subway
-15.7871752,-47.8888573,bureau_de_change,Confidence Câmbio
-15.7781911,-47.8885969,restaurant,Restaurante Talher de Minas
-15.7868298,-47.8846300,cafe,Crépe de Paris
-15.7871512,-47.8843061,fast_food,Giraffas
-15.7796175,-47.8752157,restaurant,Cantucci Bistrô
-15.8033904,-47.8740694,restaurant,Restaurante Consulado
-15.7768953,-47.8885421,school,Wise Up
-15.7898658,-47.8803227,fast_food,Entre Eixos
-15.7944517,-47.8933922,bank,Citibank
-15.7949085,-47.8925869,restaurant,Jamie Oliver
-15.7948771,-47.8924151,restaurant,Outback
-15.7951046,-47.8927596,fast_food,Subway
-15.7951841,-47.8927181,restaurant,Panelinhas do Brasil
-15.7948565,-47.8935168,bank,Banco do Brasil
-15.7748249,-47.8806913,fast_food,Páprica Burger
-15.7801098,-47.8750921,fast_food,Açaí Artesanal
-15.7868687,-47.8887784,atm,Banco24Horas
-15.7871965,-47.8885906,restaurant,Mormaii Surf Bar
-15.7892587,-47.8833161,bank,China Construction Bank
-15.7873284,-47.8902516,restaurant,Madero
-15.7804654,-47.8862943,pub,Sultan
-15.7780775,-47.8884546,restaurant,Bengala
-15.7906235,-47.8831845,cafe,Gaudi Café
-15.7906519,-47.8832033,restaurant,Sushi Loko
-15.7785951,-47.8881019,restaurant,Alexandre's
-15.7866675,-47.8840023,atm,Banco de Brasília
-15.7867140,-47.8839908,atm,Banco24Horas
-15.7871046,-47.8844814,restaurant,Aroma Restaurante
-15.7868709,-47.8845790,fast_food,Empada Brasil
-15.7869974,-47.8846957,coworking_space,Open Office
-15.8096224,-47.8897542,fast_food,Domino's
-15.8100977,-47.8895461,restaurant,Salad Bowl
-15.8007699,-47.8913921,fast_food,Açaí Artesanal
-15.7747066,-47.8887807,school,ALUB
-15.8087024,-47.8856670,fast_food,The Black Beef
-15.7808340,-47.8891390,cafe,Oficina Café
-15.7808978,-47.8850811,school,Cultura Italiana
-15.8088076,-47.9009976,school,Uptime
-15.8090084,-47.9015842,language_school,CCAA
-15.8106640,-47.9034878,school,Yes
-15.7904799,-47.8942162,fast_food,Acarajé da Mainha
-15.7879188,-47.8915452,fast_food,Spoleto
-15.8042263,-47.8856256,restaurant,Yakisoba Factory
-15.7742663,-47.8888380,restaurant,MINAS BRASIL RESTAURANTE
-15.7870876,-47.8904301,fast_food,Mr. Fit
-15.7810471,-47.8902963,school,SuperGeeks
-15.7973871,-47.8879447,arts_centre,Espaço Cultural Canteiro Central
-15.7962238,-47.8927946,cafe,Café Civitá
-15.7953783,-47.8924834,cafe,Fran's Café
-15.7962754,-47.8928412,atm,Banco24Horas
-15.7961393,-47.8931726,bank,Banco de Brasília
-15.7930602,-47.8925020,fast_food,In Brasília Kebab
-15.7767563,-47.8788905,restaurant,Vegan-se
-15.8011745,-47.8837542,coworking_space,BR Offices
-15.7730970,-47.8773850,restaurant,Ki Filé
-15.7734486,-47.8758385,pub,Bar Tropical
-15.7730329,-47.8757742,pub,Bar Querubim
-15.7728498,-47.8757007,pharmacy,Pharmakon
-15.7735408,-47.8759787,restaurant,Belas
-15.7776368,-47.8832105,restaurant,Le Parisien Bistrot
-15.7751531,-47.8891120,kindergarten,Me põe na história
-15.7746794,-47.8862760,pharmacy,Fórmula Animal
-15.7747795,-47.8862906,clinic,Espaço Saúde
-15.7742155,-47.8865059,restaurant,Caffé con Latte
-15.7744371,-47.8868611,fast_food,Calangos Açaí
-15.7745731,-47.8852238,community_centre,Happy Birthday Festas
-15.8070580,-47.8928596,fast_food,Club Life to Go
-15.8031685,-47.8923872,fast_food,Torteria di Lorenza
-15.8034257,-47.8924533,restaurant,Moagem cozinha bar
-15.8034794,-47.8924100,pharmacy,Vitabel
-15.8035110,-47.8923785,restaurant,Maxsushi
-15.8028571,-47.8931537,fast_food,Subway
-15.8028809,-47.8931241,cafe,Nosso Quadrado
-15.8025016,-47.8931878,fast_food,Açaí Artesanal
-15.8026971,-47.8933846,language_school,Wizard
